Dwelling Type;Climate Type;Degrees of Reference;Construction Period;Size Factor;Surface;Ceiling Height;Share of Windows;Dwelling per Floor;Floors;Intermittence;__init__ial Age;Heating System;Efficiency;A Investment;B Investment;Maintenance Cost;Emission Factor;Energy Price;Same Switch Cost;Different Switch Cost;Delevery Type Cost;Specific Gas Price;Annual Variation;Carbon Price;Discount Rate;Inflation Rate;Insulation Limit;Headcount
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;2;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;10
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;3;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;10
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;4;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;10
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;5;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;25
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;6;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;25
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;7;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;25
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;8;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;25
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;9;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;25
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;10;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;65
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;11;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;65
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;12;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;65
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;13;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;65
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;14;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;65
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;15;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;99
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;16;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;99
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;17;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;99
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;18;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;99
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;19;OB;0.83;3679.5;0.05;110;0.00027085099999999996;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02;25;0.05;0;500000;99
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;0;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;25
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;1;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;25
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;2;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;25
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;3;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;25
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;4;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;25
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;5;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;17
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;6;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;17
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;7;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;17
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;8;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;17
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;9;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;17
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;10;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;7
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;11;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;7
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;12;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;7
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;13;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;7
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;14;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;7
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;15;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;16;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;17;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;18;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;19;COB;0.95;4460.0;0.07;150;0.00027085099999999996;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;0;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;1;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;2;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;3;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;4;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;5;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;6;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;7;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;8;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;9;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;10;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;11;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;12;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;13;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;14;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;15;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;16;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;17;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;18;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;19;EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;0;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;1;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;2;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;3;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;4;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;5;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;6;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;7;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;8;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;9;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;10;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;11;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;12;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;13;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;14;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;15;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;16;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;17;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;18;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;19;WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;0;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;1;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;2;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;3;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;4;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;5;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;6;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;7;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;8;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;9;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;10;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;11;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;12;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;13;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;14;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;15;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;16;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;17;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;18;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;19;WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;0;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;1;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;2;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;3;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;4;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;5;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;6;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;7;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;8;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;9;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;10;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;11;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;12;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;13;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;14;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;15;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;16;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;17;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;18;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Middle;68.3;2.6;0.3;2;6;1.0;19;EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03;25;0.05;0;500000;0
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;0;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;1012
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;1;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;1012
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;2;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;1012
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;3;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;1012
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;4;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;1012
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;5;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;1012
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;6;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;1012
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;7;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;1012
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;8;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;1012
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;9;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;1012
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;10;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;3036
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;11;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;3036
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;12;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;3036
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;13;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;3036
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;14;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;3036
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;15;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;3036
CID;H3;34281;1948-1974;Small;29.0;2.6;0.3;2;6;1.0;16;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;3036
